Category Name,Bottle Size,Grade,Avg Growth Rate
CORN WHISKIES,m,mid,23.75
FLAVORED GIN,s,high,12.838511874639549
NEUTRAL GRAIN SPIRITS,s,low,12.635592075326528
BOTTLED IN BOND BOURBON,l,low,9.039607167896422
COCKTAILS/RTD,s,high,7.6283817019183475
STRAIGHT RYE WHISKIES,s,high,6.792222461163502
IOWA SPIRITS MANUFACTURERS,m,high,6.152305445649099
BOTTLED IN BOND BOURBON,m,mid,4.338711948414417
IMPORTED DISTILLED SPIRIT SPECIALTY,m,mid,3.931265875501705
TEMPORARY & SPECIALTY PACKAGES,s,mid,3.91273609234926
COCKTAILS/RTD,s,low,3.0707374364722373
100% AGAVE TEQUILA,l,high,2.7387087949664886
TEMPORARY & SPECIALTY PACKAGES,m,high,2.730776677626473
SINGLE BARREL BOURBON WHISKIES,m,mid,2.6378556877881425
BLENDED WHISKIES,m,mid,2.2605300964205433
AGED DARK RUM,m,high,2.1284134681525857
AMERICAN DISTILLED SPIRIT SPECIALTY,m,mid,2.0467225909921423
SCOTCH WHISKIES,s,high,1.8620783028496808
NEUTRAL GRAIN SPIRITS FLAVORED,s,high,1.8072089817375954
TEMPORARY & SPECIALTY PACKAGES,l,low,1.7348394475024216
TEMPORARY & SPECIALTY PACKAGES,l,high,1.5954764553207257
GOLD RUM,m,mid,1.5754512326509094
IMPORTED BRANDIES,m,mid,1.5702141997659433
TEMPORARY & SPECIALTY PACKAGES,s,high,1.516741574505116
WHISKEY LIQUEUR,s,mid,1.3885607598162653
IMPORTED DISTILLED SPIRIT SPECIALTY,s,low,1.2285494472586245
STRAIGHT RYE WHISKIES,m,high,1.1744106597216712
STRAIGHT BOURBON WHISKIES,s,mid,1.1678638893406104
TEMPORARY & SPECIALTY PACKAGES,m,mid,1.1195335289124688
AMERICAN CORDIALS & LIQUEUR,s,low,1.1189837673492236
IOWA SPIRITS MANUFACTURERS,s,high,1.0972862076273662
STRAIGHT RYE WHISKIES,m,mid,1.096115846621945
IMPORTED DISTILLED SPIRIT SPECIALTY,m,high,1.078945958016972
SPECIAL ORDER ITEMS,s,low,1.0732360468590159
STRAIGHT BOURBON WHISKIES,m,high,1.0567564674547327
IOWA SPIRITS MANUFACTURERS,l,low,0.971155419709007
STRAIGHT BOURBON WHISKIES,m,mid,0.955922040511784
MEZCAL,m,mid,0.9477670077952146
AMERICAN VODKAS,s,mid,0.916174301054603
NEUTRAL GRAIN SPIRITS FLAVORED,m,low,0.9009042381762739
IMPORTED DRY GINS,m,mid,0.8890008798021055
AMERICAN DISTILLED SPIRIT SPECIALTY,m,low,0.8337609319798925
