Category Name,Bottle Size,Avg Growth Rate
FLAVORED GIN,s,12.838511874639549
NEUTRAL GRAIN SPIRITS,s,12.660038493358414
BOTTLED IN BOND BOURBON,l,9.039607167896422
COCKTAILS/RTD,s,3.1594381557067472
NEUTRAL GRAIN SPIRITS FLAVORED,s,1.8072089817375956
TEMPORARY & SPECIALTY PACKAGES,l,1.7275558324298108
IMPORTED DISTILLED SPIRIT SPECIALTY,s,1.2285494472586245
IOWA SPIRITS MANUFACTURERS,l,0.971155419709007
NEUTRAL GRAIN SPIRITS FLAVORED,m,0.9009042381762739
TEMPORARY & SPECIALTY PACKAGES,s,0.8707319685450902
AMERICAN DISTILLED SPIRIT SPECIALTY,m,0.8606781726255077
IOWA SPIRITS MANUFACTURERS,s,0.8386973698587239
NEUTRAL GRAIN SPIRITS,l,0.7830056594084248
STRAIGHT RYE WHISKIES,s,0.7154993069418638
IMPORTED DISTILLED SPIRIT SPECIALTY,m,0.6850877347407427
BOTTLED IN BOND BOURBON,m,0.6675760681248764
IMPORTED BRANDIES,l,0.6478221369511473
MEZCAL,m,0.5848020923590663
TEMPORARY & SPECIALTY PACKAGES,m,0.5587113974855756
AMERICAN CORDIALS & LIQUEUR,s,0.48917275247196673
IOWA SPIRITS MANUFACTURERS,m,0.4837640954735744
CORN WHISKIES,m,0.4078117674271542
BLENDED WHISKIES,m,0.3494663177634018
AGED DARK RUM,m,0.34264935223796283
SINGLE BARREL BOURBON WHISKIES,m,0.3392127221203815
FLAVORED GIN,m,0.3382928324413729
IMPORTED CORDIALS & LIQUEUR,s,0.3378396731171344
100% AGAVE TEQUILA,s,0.3153088308026468
100% AGAVE TEQUILA,m,0.3078072802675961
STRAIGHT BOURBON WHISKIES,m,0.2970151584682846
AMERICAN SCHNAPPS,s,0.2821587585055148
IMPORTED DRY GINS,s,0.2758928317491056
100% AGAVE TEQUILA,l,0.26874369830134365
WHISKEY LIQUEUR,s,0.25516505431493747
IRISH WHISKIES,s,0.23515433094969698
FLAVORED RUM,s,0.23386520318289863
STRAIGHT BOURBON WHISKIES,s,0.22122779456431996
MIXTO TEQUILA,s,0.20186496579901583
STRAIGHT RYE WHISKIES,m,0.1871403419246848
IMPORTED BRANDIES,s,0.1860482549853605
COCKTAILS/RTD,l,0.1843629290814994
CANADIAN WHISKIES,s,0.17417710845018383
TENNESSEE WHISKIES,s,0.16219956472126631
IMPORTED CORDIALS & LIQUEUR,m,0.15976668296400406
AMERICAN CORDIALS & LIQUEUR,m,0.15870210759345607
SCOTCH WHISKIES,s,0.15788154929887924
IMPORTED BRANDIES,m,0.1556997097059874
