Category Name,Grade,Avg Growth Rate
CORN WHISKIES,mid,23.75
FLAVORED GIN,high,12.838511874639549
COCKTAILS/RTD,high,7.628381701918346
BOTTLED IN BOND BOURBON,mid,4.338711948414417
IMPORTED DISTILLED SPIRIT SPECIALTY,mid,3.931265875501705
SINGLE BARREL BOURBON WHISKIES,mid,2.6378556877881425
BLENDED WHISKIES,mid,2.2605300964205433
AMERICAN DISTILLED SPIRIT SPECIALTY,mid,2.1685752249851284
AGED DARK RUM,high,2.1284134681525857
NEUTRAL GRAIN SPIRITS FLAVORED,high,1.8072089817375954
TEMPORARY & SPECIALTY PACKAGES,high,1.792875267458869
GOLD RUM,mid,1.5754512326509094
WHISKEY LIQUEUR,mid,1.3885607598162653
STRAIGHT RYE WHISKIES,high,1.271915845554942
TEMPORARY & SPECIALTY PACKAGES,mid,1.2280334404633473
STRAIGHT RYE WHISKIES,mid,1.096115846621945
IMPORTED DISTILLED SPIRIT SPECIALTY,high,1.0789459580169718
STRAIGHT BOURBON WHISKIES,mid,0.9486491991817799
MEZCAL,mid,0.9477670077952146
AMERICAN VODKAS,mid,0.916174301054603
NEUTRAL GRAIN SPIRITS FLAVORED,low,0.9009042381762739
AMERICAN DISTILLED SPIRIT SPECIALTY,low,0.8337609319798923
IMPORTED CORDIALS & LIQUEUR,mid,0.8263650262759272
IOWA SPIRITS MANUFACTURERS,high,0.7817977461233351
IMPORTED DRY GINS,high,0.7758735689007118
AGED DARK RUM,mid,0.699591009558155
BOTTLED IN BOND BOURBON,low,0.629411613191812
TEMPORARY & SPECIALTY PACKAGES,low,0.5740200575860319
SPECIAL ORDER ITEMS,mid,0.5599525350284678
100% AGAVE TEQUILA,high,0.5474249733825848
IOWA SPIRITS MANUFACTURERS,low,0.5423701253145015
MEZCAL,low,0.5087499884251846
BLENDED WHISKIES,high,0.4682775078827098
IMPORTED BRANDIES,high,0.46456319887937925
AMERICAN CORDIALS & LIQUEUR,high,0.4558743880762605
TENNESSEE WHISKIES,mid,0.3847500749523732
IMPORTED DRY GINS,mid,0.38324354522161824
100% AGAVE TEQUILA,mid,0.36623735866342494
AMERICAN FLAVORED VODKA,high,0.36071349940580166
CORN WHISKIES,low,0.34929871865698825
AMERICAN SCHNAPPS,high,0.34396977043185045
FLAVORED GIN,low,0.3382971330445133
STRAIGHT BOURBON WHISKIES,high,0.33194131237579133
MIXTO TEQUILA,high,0.3150230566260839
IMPORTED BRANDIES,mid,0.3094001702792171
SINGLE BARREL BOURBON WHISKIES,low,0.30776720644628863
SCOTCH WHISKIES,mid,0.2919000274242974
TENNESSEE WHISKIES,high,0.2896378936390036
100% AGAVE TEQUILA,low,0.2877396746268976
WHISKEY LIQUEUR,high,0.2729297520708985
SCOTCH WHISKIES,high,0.2697213133151111
AGED DARK RUM,low,0.26234948342256215
AMERICAN VODKAS,high,0.24985225089613708
FLAVORED RUM,high,0.24905805640010725
COCKTAILS/RTD,low,0.23260261683291858
IMPORTED CORDIALS & LIQUEUR,high,0.2210326782260771
IOWA SPIRITS MANUFACTURERS,mid,0.21093560600350278
CANADIAN WHISKIES,high,0.20202037504586975
IMPORTED DISTILLED SPIRIT SPECIALTY,low,0.19597970851291616
STRAIGHT BOURBON WHISKIES,low,0.1953575852434719
IMPORTED BRANDIES,low,0.18517574695634054
IMPORTED VODKAS,high,0.18515727028855422
IRISH WHISKIES,mid,0.18135995050260892
CREAM LIQUEURS,high,0.18091133929778935
AMERICAN CORDIALS & LIQUEUR,low,0.16240432378044584
IMPORTED SCHNAPPS,high,0.16194208999916973
BOTTLED IN BOND BOURBON,high,0.14851540749348136
WHITE RUM,high,0.1332068138951609
IMPORTED CORDIALS & LIQUEURS,low,0.13001759472599542
SPECIAL ORDER ITEMS,high,0.12624556946671792
STRAIGHT RYE WHISKIES,low,0.1224346141767901
BLENDED WHISKIES,low,0.11789843572825072
FLAVORED RUM,low,0.11741087452116118
IMPORTED CORDIALS & LIQUEUR,low,0.1166426354246603
SPICED RUM,high,0.10054007848999537
IMPORTED SCHNAPPS,low,0.09830708072408763
COFFEE LIQUEURS,high,0.09530694077341317
CREAM LIQUEURS,low,0.09433083537325292
SINGLE MALT SCOTCH,mid,0.09194653034471517
WHISKEY LIQUEUR,low,0.09165816313096047
AMERICAN BRANDIES,high,0.09031307975638082
SINGLE MALT SCOTCH,low,0.08239671255524518
IMPORTED DRY GINS,low,0.07959222240753076
IRISH WHISKIES,low,0.07902119298902287
MIXTO TEQUILA,low,0.0781806758807648
SINGLE MALT SCOTCH,high,0.07271213473473186
AMERICAN FLAVORED VODKA,low,0.06663677141040701
AMERICAN VODKAS,low,0.0600562717774362
AMERICAN SLOE GINS,low,0.05825364543621673
COFFEE LIQUEURS,low,0.05637934115317599
AMERICAN SCHNAPPS,low,0.04820655563143505
TRIPLE SEC,low,0.0465949442410421
IRISH WHISKIES,high,0.04635448401144899
TENNESSEE WHISKIES,low,0.04554857986518257
AMERICAN DRY GINS,low,0.04318006493422233
CANADIAN WHISKIES,low,0.04288136503439718
AMERICAN BRANDIES,low,0.02807984566384297
WHITE RUM,low,0.020211495028346075
SPICED RUM,low,0.02020003717034866
GOLD RUM,low,0.013249238002988722
SCOTCH WHISKIES,low,0.00491384726958737
SPECIAL ORDER ITEMS,low,-7.573813323241696E-4
NEUTRAL GRAIN SPIRITS,low,-0.007486390621266233
GOLD RUM,high,-0.012021762304349965
IMPORTED FLAVORED VODKA,low,-0.018692955586169204
IMPORTED VODKAS,low,-0.02012745474197179
AMERICAN DRY GINS,mid,-0.029808361622565043
MEZCAL,high,-0.13384046998361437
IMPORTED FLAVORED VODKA,high,-0.18958159871195365
NEUTRAL GRAIN SPIRITS,high,-0.5555555555555556
