City,Bottle Size,Grade,Avg Growth Rate
SHENANDOAH,s,mid,146.1435797392553
PARKERSBURG,s,high,122.83999999999999
LARCHWOOD,s,mid,93.1780303030303
VAN HORNE,s,high,59.26968458295364
WALFORD,s,low,53.966081871345025
WINTHROP,s,low,52.26683740561078
BLOOMFIELD,s,low,51.399527440061355
BUFFALO CENTER,s,mid,50.65888888888889
SAGEVILLE,l,low,41.78569050413309
MEDIAPOLIS,m,high,38.728380952380945
LAKE PARK,s,high,38.29633333333334
RAYMOND,s,mid,26.627402438558267
VAN HORNE,m,high,26.491832425825095
MONTEZUMA,s,mid,26.38396546690295
WEST UNION,s,mid,25.07272727272727
ONAWA,s,mid,21.733195554750946
ROCK RAPIDS,s,mid,21.22279180465954
GUTTENBERG,s,mid,21.000296598535748
LAMONI,s,mid,20.723528276394518
MELBOURNE,m,high,19.84952380952381
BONDURANT,m,high,19.743615066605415
GRAND MOUNDS,m,high,19.32758620689655
LISBON,s,mid,19.236363636363635
AVOCA,m,mid,18.026533333333333
BALDWIN,m,high,14.065858974358976
PLEASANT VALLEY,s,low,14.014343434343434
HUMBOLDT,s,mid,13.527156317156724
GLENWOOD,m,high,13.499895382930939
LE CLAIRE,m,mid,12.201587069283423
MEDIAPOLIS,m,mid,12.151705202312138
LE CLAIRE,s,mid,12.15078545352931
HUDSON,m,mid,12.065215220431773
NORWALK,m,high,11.454908182601205
OELWEIN,m,high,11.26998050682261
SIGOURNEY,m,mid,11.208583999281675
AKRON,s,high,11.198565026546717
INDEPENDENCE,s,mid,11.146993129877366
WAUKON,s,mid,10.53297302137824
AUDUBON,s,mid,10.107878787878786
POCAHONTAS,m,mid,10.100089666645234
RAYMOND,m,mid,9.41430864093251
NORTHWOOD,s,mid,8.823801988683138
HULL,s,low,8.814909176565935
ORANGE CITY,m,high,8.669830119104255
MELCHER-DALLAS,m,high,8.554
COLUMBUS JUNCTION,s,mid,8.5248
DUNLAP,m,mid,8.294289263197035
BELLE PLAINE,m,mid,8.06626331431768
OELWEIN,m,mid,8.05141393515015
MANSON,s,mid,8.000000000000002
HUXLEY,m,high,7.543153321294755
WEST BURLINGTON,m,high,7.458663279370827
LAKE VIEW,m,high,7.409174988130492
ARNOLDS PARK,s,mid,7.339351545021632
POLK CITY,m,mid,6.9395512768547
VINTON,m,mid,6.911153968506305
POCAHONTAS,m,high,6.669405131764497
CARLISLE,s,mid,6.599926630376558
NORWALK,s,mid,6.5385390448122065
GLENWOOD,s,mid,6.491446967926467
BALDWIN,s,mid,6.485175827944077
GLADBROOK,s,high,6.440158825763399
CARROLL,s,mid,6.43051712290152
PLEASANT HILL,l,high,6.415647015202077
PELLA,s,mid,6.408299614579352
DUNLAP,s,mid,6.3168
MISSOURI VALLEY,s,mid,6.169118675844018
CAMANCHE,s,mid,5.973673036093417
JEFFERSON,m,mid,5.967222400639582
DOON,s,high,5.859928471353805
LAMONT,l,low,5.849727805876507
POLK CITY,s,mid,5.740074250221592
CLEAR LAKE,s,mid,5.621095180125565
OELWEIN,s,mid,5.568444549755455
BUFFALO CENTER,m,high,5.469770384322295
FONTANELLE,l,low,5.4345159537303
VINTON,m,high,5.321135894666476
ADEL,m,mid,5.305024793392483
HUXLEY,m,mid,5.221488053781198
WALFORD,m,high,5.217403907472897
BUFFALO CENTER,m,mid,5.214465478020594
WALNUT,s,mid,5.190378576491294
LIVERMORE,s,high,5.178917222155383
MURRAY,l,low,5.104606858330447
CENTER POINT,s,low,5.010963095305132
ATKINS,s,mid,4.977550832656768
FAIRFIELD,s,mid,4.910796165963901
MAXWELL,s,high,4.7890881038360105
STRAWBERRY POINT,s,high,4.782854375017419
SAINT ANSGAR,m,mid,4.778019959588101
COON RAPIDS,m,mid,4.661512391442491
MAQUOKETA,m,mid,4.492691414662553
WESLEY,m,mid,4.461912285009436
BALDWIN,m,mid,4.45372615157584
NEW HARTFORD,s,high,4.384333281272303
HUDSON,m,high,4.365774920760158
WELLMAN,m,high,4.364186194819785
SPIRIT LAKE,s,mid,4.356603112720119
WINTERSET,m,high,4.274326463510744
INDIANOLA,s,mid,4.2642832860198
WOODBINE,s,low,4.237633530595919
MANCHESTER,m,high,4.231055640681867
TOLEDO,s,mid,4.1123988925308685
EVANSDALE,s,mid,4.1064073617206605
GUTTENBERG,m,mid,4.061220752514666
MARENGO,s,mid,4.016979233674019
COLESBURG,m,low,3.994515899468878
ALBERT CITY,s,low,3.943943338279322
DECORAH,s,mid,3.9271548963684744
WEST BEND,m,high,3.874158139534884
RED OAK,m,high,3.856264998647784
INWOOD,s,mid,3.8
HAMPTON,s,mid,3.7803958308641525
WEST LIBERTY,s,mid,3.6981364938085766
DEWITT,s,mid,3.697382195156946
GLENWOOD,m,mid,3.678570962509949
TIPTON,s,mid,3.6712938912938906
SOLON,m,mid,3.6703968214474467
WEST DES MOINES,l,high,3.5993777777777782
ST ANSGAR,s,high,3.596747650711496
KNOXVILLE,s,mid,3.5675923899426025
MANCHESTER,s,mid,3.5554209081009915
HULL,l,low,3.526377432811436
PACIFIC JUNCTION,m,high,3.469122494004796
HAMPTON,m,high,3.4155645841715763
REINBECK,s,high,3.388392798957315
ELDRIDGE,m,mid,3.372018541240912
LENOX,m,mid,3.365464943980584
NORWALK,m,mid,3.351327588393859
BOONE,s,mid,3.3291106692967882
HIAWATHA,m,mid,3.299234208020786
GRAETTINGER,s,low,3.2901043738990228
ANKENY,l,high,3.265549868155732
SAC CITY,m,mid,3.2122102680806264
ROLAND,s,mid,3.1707188160676534
AVOCA,s,mid,3.167049808429119
HARLAN,s,mid,3.1626826453558663
HUBBARD,s,low,3.1168982805057666
ESSEX,l,low,3.107917692113517
CLARINDA,s,mid,3.0860754049880037
SIOUX CENTER,s,high,3.0680789132070156
GRAND MOUNDS,s,mid,3.0621431518032916
GUTTENBERG,m,high,3.059824825304972
BEDFORD,s,high,3.004710277076446
HAMBURG,s,high,3.002611956018031
NEW VIRGINIA,s,mid,3.0
CARROLL,l,high,3.0
ALBIA,s,high,2.9776676701264937
EDDYVILLE,s,high,2.894983403484969
CRESTON,s,mid,2.884175617577862
WILLIAMSBURG,s,mid,2.8832118654903467
URBANDALE,s,mid,2.81256819556553
RICEVILLE,s,high,2.803125493885698
CENTRAL CITY,m,high,2.7834949020960527
ALBERT CITY,l,low,2.781556786181707
CENTERVILLE,s,mid,2.7759920384368573
SPRINGVILLE,s,high,2.758819763953966
WAVERLY,s,mid,2.749459344751297
BALDWIN,s,high,2.724027592190049
SIGOURNEY,m,high,2.706706954436451
PARKERSBURG,m,high,2.6798690420075113
CHEROKEE,s,mid,2.649745309931341
INDEPENDENCE,m,high,2.644350441812371
CARLISLE,m,high,2.6327720009196938
MAPLETON,m,mid,2.6025501035361667
STUART,m,mid,2.5920075757575756
CEDAR RAPIDS,l,high,2.586419419048928
DEWITT,m,high,2.5817096954170853
MARTELLE,s,mid,2.5688586545729404
ELDRIDGE,m,high,2.559197906248381
BRITT,m,mid,2.55
WYOMING,l,low,2.52236508665408
SIOUX CENTER,s,mid,2.4833178143757957
DAYTON,s,high,2.4773344847274164
ADEL,s,mid,2.472967458048634
HUBBARD,s,high,2.4455467138393514
BANCROFT,s,mid,2.430713230259127
CRESTON,m,mid,2.4301219796297526
GREENE,s,high,2.4201542357895867
HULL,m,low,2.402833017917955
IOWA FALLS,s,mid,2.399352963602995
BONDURANT,m,mid,2.3959872045608757
SOLON,s,mid,2.3659090909090907
BALDWIN,s,low,2.338621934329203
VILLISCA,s,low,2.2938682255081093
MONTEZUMA,m,high,2.2835480364565464
STANWOOD,s,high,2.2835273543140318
MONONA,m,high,2.2517957471019128
MURRAY,s,low,2.2354212124188164
ALLERTON,m,low,2.2341502116764924
DYERSVILLE,m,mid,2.2141315136476427
MELBOURNE,s,high,2.2093026582203756
INDEPENDENCE,m,mid,2.206140478603306
MORNING SUN,l,low,2.2035936734163313
WEST BEND,l,low,2.1970589727896632
COLFAX,s,mid,2.1916666666666664
KEOSAUQUA,s,mid,2.1863987790429142
COLESBURG,l,low,2.1843002489446905
EAGLE GROVE,s,mid,2.183150183150183
MT PLEASANT,s,mid,2.176527777777778
JEFFERSON,s,mid,2.1720008739720944
WASHINGTON,s,mid,2.165312545811093
VAN HORNE,s,low,2.1505818609224763
LAKE MILLS,s,mid,2.1458738538482907
ELK RUN HEIGHTS,s,high,2.1395108124331723
ALBERT CITY,m,low,2.1327948171953004
STANWOOD,s,low,2.1103956441196616
VILLISCA,l,low,2.104827361514294
KALONA,s,mid,2.094993264957858
DELMAR,s,high,2.0761133603369335
MONONA,m,mid,2.0611522633744856
HAMPTON,m,mid,2.0601308260965356
LE GRAND,s,mid,2.0323232323232325
ALBERT CITY,s,high,2.0308093163872143
DEWITT,m,mid,2.010632468479936
MOUNT VERNON,s,mid,2.006922601190219
INWOOD,m,mid,1.9935741407847338
LA PORTE CITY,m,high,1.9798120805369128
HOLSTEIN,s,mid,1.9661777007049268
FAIRFIELD,m,high,1.9550318697594573
TRIPOLI,s,high,1.9465238168131906
HINTON,m,low,1.9456002611001801
MARENGO,m,high,1.9384251533144343
ORANGE CITY,m,mid,1.9331540930598556
NEWTON,m,high,1.9271018885826152
NORWAY,m,high,1.9215353169355551
LOVILIA,s,high,1.9190911561590938
WEST BEND,s,high,1.8979515361004367
MORNING SUN,m,low,1.884839676383964
OTHO,s,high,1.8713333333333335
GLIDDEN,m,mid,1.8661246612466125
CRESCO,s,mid,1.864247459386503
NEVADA,s,mid,1.8616482324424142
BAXTER,s,high,1.858018906078857
DONNELLSON,l,low,1.8571401262256193
LAURENS,m,mid,1.8529411764705883
BROOKLYN,l,low,1.8295597910277897
AUDUBON,s,high,1.8295153532354842
NEVADA,m,mid,1.827279967681527
EDDYVILLE,l,low,1.8221570597427599
TRAER,s,mid,1.8188276246170985
ADEL,m,high,1.8133536987529155
WHITTEMORE,s,high,1.7877774332166751
NORWAY,m,mid,1.7787763463756543
KALONA,s,high,1.7593667801854265
AURELIA,s,high,1.750787575938089
AUDUBON,m,mid,1.7440812996694344
ATLANTIC,s,mid,1.7401032642212846
WEST BEND,m,mid,1.7398972877547747
MARQUETTE,s,high,1.7198318297047699
MURRAY,m,low,1.7033377565780832
CAMANCHE,s,high,1.7029497140829986
ALDEN,s,high,1.690069624617692
HUMBOLDT,m,high,1.6843545562994493
PLEASANT VALLEY,l,low,1.6770591917531188
ALTON,s,high,1.673254016911139
WEST BURLINGTON,m,mid,1.6720690473598285
NORTHWOOD,m,high,1.6680893628206463
SAINT ANSGAR,m,high,1.667259654496649
ELDORA,m,mid,1.6546613363656906
CAMANCHE,m,mid,1.6339936959004202
SIGOURNEY,s,high,1.6230771479231283
DANVILLE,l,low,1.6180170450540154
WINTERSET,m,mid,1.6144758996496478
FAIRBANK,s,high,1.6041557110755866
MARION,s,mid,1.5842568432239899
PACIFIC JUNCTION,m,mid,1.5814015774090893
STANWOOD,l,low,1.5791438980134147
HUBBARD,m,low,1.5783075610157216
STANWOOD,m,low,1.5680759427220685
ARNOLD'S PARK,m,high,1.557600077685442
CLARINDA,m,mid,1.5501428607587482
WAPELLO,s,high,1.5459886973623354
POMEROY,l,low,1.5422401444852711
NEW SHARON,s,high,1.5417438275904551
NORTH LIBERTY,m,high,1.537295270399112
NEVADA,m,high,1.5299760191846523
JEWELL,s,high,1.5240859839205882
DUNLAP,m,high,1.5217505382316163
HARPERS FERRY,m,high,1.5185991742780063
EVANSDALE,m,high,1.5057543074058048
BELLE PLAINE,s,mid,1.502713435585058
HIAWATHA,s,mid,1.5022947582881006
ROLAND,s,high,1.496758449450212
OXFORD,s,mid,1.4814026339342794
ROCK VALLEY,m,mid,1.4692561483082915
DENISON,m,high,1.4680312554832948
EARLY,s,high,1.4626598136703288
BELLE PLAINE,m,high,1.4551914202329803
CORWITH,s,high,1.4532019704433499
CEDAR FALLS,s,mid,1.447669448796723
EDDYVILLE,m,low,1.44655128976335
BLAIRSTOWN,s,low,1.44503950834065
VAN HORNE,m,mid,1.4416291748799217
WELLMAN,m,mid,1.4401434220886415
TRAER,m,high,1.437883054497267
