City,Category Name,Bottle Size,Grade,Avg Growth Rate
PACIFIC JUNCTION,STRAIGHT BOURBON WHISKIES,s,high,363.4592593
COON RAPIDS,IOWA SPIRITS MANUFACTURERS,s,low,159.8128813
ANITA,AMERICAN SCHNAPPS,s,high,151.06
ADEL,SINGLE BARREL BOURBON WHISKIES,m,low,149.5080099
GUTTENBERG,IMPORTED BRANDIES,m,low,134.5112925
RIVERSIDE,IOWA SPIRITS MANUFACTURERS,l,low,125.4624337
OSCEOLA,AMERICAN DISTILLED SPIRIT SPECIALTY,m,low,125.36
NEW HAMPTON,TEMPORARY & SPECIALTY PACKAGES,l,low,120.6162791
GLADBROOK,WHISKEY LIQUEUR,s,high,112.1191518
WEST DES MOINES,COCKTAILS/RTD,s,high,107.3340789
KALONA,AMERICAN CORDIALS & LIQUEUR,s,low,95.36920574
FAIRFIELD,WHISKEY LIQUEUR,s,mid,86.46264368
FORT MADISON,WHISKEY LIQUEUR,s,mid,82.5
VINTON,IMPORTED BRANDIES,l,low,81.36265607
CLIVE,IOWA SPIRITS MANUFACTURERS,l,low,80.53178953
MARCUS,STRAIGHT BOURBON WHISKIES,s,low,78.9893617
ALLERTON,TENNESSEE WHISKIES,m,low,74.31915339
DELHI,CANADIAN WHISKIES,s,low,74.19
HAMBURG,AMERICAN SCHNAPPS,s,high,71.59333333
DAVENPORT,COCKTAILS/RTD,s,high,69.09473684
RICEVILLE,BLENDED WHISKIES,s,high,65.13793103
PAULLINA,IMPORTED FLAVORED VODKA,m,low,62.89726484
MANCHESTER,COCKTAILS/RTD,s,low,62.85785877
MASON CITY,TEMPORARY & SPECIALTY PACKAGES,s,mid,62.142
NORTH ENGLISH,AMERICAN SCHNAPPS,s,high,62.06666667
ORANGE CITY,100% AGAVE TEQUILA,l,low,59.14653888
MONTROSE,IOWA SPIRITS MANUFACTURERS,m,low,57.3482621
WASHINGTON,COCKTAILS/RTD,s,low,56.17518015
VICTOR,IMPORTED DRY GINS,m,low,54.65858096
LE CLAIRE,SINGLE BARREL BOURBON WHISKIES,m,low,53.37813966
CARROLL,100% AGAVE TEQUILA,l,low,50.3327328
DELMAR,TEMPORARY & SPECIALTY PACKAGES,m,low,50.31752203
ELDORA,TEMPORARY & SPECIALTY PACKAGES,s,high,49.46530612
CORALVILLE,COCKTAILS/RTD,s,high,48.92434211
CAMANCHE,TEMPORARY & SPECIALTY PACKAGES,s,high,48.49333333
VINTON,TEMPORARY & SPECIALTY PACKAGES,m,mid,47.79827451
ARNOLDS PARK,NEUTRAL GRAIN SPIRITS FLAVORED,s,high,47.6538226
FORT DODGE,TEMPORARY & SPECIALTY PACKAGES,s,mid,46.37606061
PANORA,IOWA SPIRITS MANUFACTURERS,s,low,44.84386617
CORWITH,IMPORTED FLAVORED VODKA,m,low,44.8336
CENTRAL CITY,BLENDED WHISKIES,s,high,44.25468936
HUXLEY,TEMPORARY & SPECIALTY PACKAGES,m,mid,43.7027451
PERRY,IMPORTED FLAVORED VODKA,s,low,43.38400576
WHAT CHEER,TEMPORARY & SPECIALTY PACKAGES,s,high,42.47546833
CENTERVILLE,COCKTAILS/RTD,s,low,42.12368907
SIGOURNEY,IOWA SPIRITS MANUFACTURERS,l,low,42.03889889
