City,Category Name,Bottle Size,Avg Growth Rate
DYSART,WHITE RUM,m,0.1122937088223383
ANAMOSA,SPICED RUM,s,0.11225191394273902
GRAETTINGER,AMERICAN VODKAS,l,0.11217656590867014
EMMETSBURG,SPICED RUM,m,0.11212295232099477
DYSART,CANADIAN WHISKIES,l,0.11210288672796799
FAIRBANK,AMERICAN DRY GINS,l,0.11208515097865161
RIVERSIDE,COFFEE LIQUEURS,l,0.11204702845584481
ANAMOSA,NEUTRAL GRAIN SPIRITS,m,0.11200739102897143
CEDAR RAPIDS,AMERICAN DRY GINS,m,0.1119655526809221
CENTERVILLE,IMPORTED CORDIALS & LIQUEURS,l,0.11195286195286196
HUXLEY,AMERICAN BRANDIES,m,0.11194869750669022
SPENCER,IMPORTED DRY GINS,m,0.1119216580828211
EXIRA,CANADIAN WHISKIES,l,0.11191615264775238
NEWTON,SPICED RUM,s,0.11181957792492336
BELMOND,BLENDED WHISKIES,l,0.1118109138233267
OSCEOLA,AMERICAN SCHNAPPS,l,0.11178076693492467
CLARINDA,NEUTRAL GRAIN SPIRITS,m,0.11175130111689428
COUNCIL BLUFFS,IMPORTED DRY GINS,s,0.11172833445279633
DECORAH,WHISKEY LIQUEUR,m,0.11171562844189348
FORT ATKINSON,AMERICAN VODKAS,s,0.11171357236108144
BETTENDORF,CREAM LIQUEURS,l,0.11170837128218242
MISSOURI VALLEY,CREAM LIQUEURS,s,0.11169021216688947
EMMETSBURG,IRISH WHISKIES,l,0.11166948238876732
DUNLAP,AMERICAN SCHNAPPS,m,0.1116617744029822
CHARITON,CANADIAN WHISKIES,m,0.11160588010583167
STORM LAKE,IMPORTED BRANDIES,m,0.11157664049404499
POCAHONTAS,AMERICAN DRY GINS,l,0.11153816016830713
GREENFIELD,FLAVORED RUM,m,0.11149390715472766
WALKER,SPICED RUM,l,0.11146310445756406
GRAETTINGER,IMPORTED SCHNAPPS,l,0.11144168378112063
HUMESTON,COCKTAILS/RTD,l,0.11143439154981777
JOHNSTON,IMPORTED DRY GINS,m,0.11143089650812295
ARNOLDS PARK,IMPORTED VODKAS,s,0.11140784726704722
WAUKON,IMPORTED SCHNAPPS,m,0.11136556781460923
WAVERLY,MIXTO TEQUILA,l,0.1113649798058192
MOUNT VERNON,IMPORTED DISTILLED SPIRIT SPECIALTY,l,0.11132639229642789
STORM LAKE,IMPORTED DRY GINS,m,0.11125945849964286
MISSOURI VALLEY,COCKTAILS/RTD,l,0.11124911093818692
CLARINDA,FLAVORED RUM,l,0.11121292201283987
FORT DODGE,TENNESSEE WHISKIES,m,0.11120478472840863
LE MARS,IMPORTED SCHNAPPS,l,0.11118570277842199
LANSING,WHISKEY LIQUEUR,l,0.11111111111111116
ROCK RAPIDS,COFFEE LIQUEURS,s,0.11111111111111116
STRATFORD,TENNESSEE WHISKIES,m,0.11111111111111112
BELMOND,TRIPLE SEC,m,0.11111111111111112
LAURENS,NEUTRAL GRAIN SPIRITS FLAVORED,m,0.1111111111111111
NORWAY,FLAVORED RUM,s,0.11111111111111109
DUNLAP,IMPORTED SCHNAPPS,l,0.11106591115293396
ORANGE CITY,MIXTO TEQUILA,l,0.11105781407500166
CLINTON,AMERICAN BRANDIES,m,0.11103302646618907
GEORGE,SPICED RUM,s,0.11102471183994427
GRUNDY CENTER,CANADIAN WHISKIES,s,0.11102399291983105
SPIRIT LAKE,IMPORTED VODKAS,s,0.11101480270939057
AMES,FLAVORED RUM,m,0.11098384732267501
PANORA,STRAIGHT BOURBON WHISKIES,l,0.11096423770804353
ARLINGTON,TENNESSEE WHISKIES,m,0.11093990795259245
CARROLL,MIXTO TEQUILA,l,0.11092061709863528
MILFORD,CANADIAN WHISKIES,s,0.11091263653239264
MARION,FLAVORED RUM,m,0.11083731853541927
WEST DES MOINES,AMERICAN VODKAS,l,0.1108320969373691
KNOXVILLE,IMPORTED SCHNAPPS,m,0.11078417581688489
IOWA CITY,NEUTRAL GRAIN SPIRITS,l,0.11074710331400853
OSCEOLA,100% AGAVE TEQUILA,s,0.11074232546647285
DES MOINES,TENNESSEE WHISKIES,s,0.1107236722802911
HIAWATHA,IMPORTED FLAVORED VODKA,s,0.11071849534426091
GREENFIELD,WHITE RUM,m,0.11070399618360593
COUNCIL BLUFFS,MIXTO TEQUILA,s,0.11062100922912087
CLEARLAKE,COCKTAILS/RTD,m,0.110493240785821
SPENCER,IMPORTED SCHNAPPS,m,0.1103887512224692
FORT DODGE,AMERICAN BRANDIES,l,0.11038647799100605
MADRID,IMPORTED BRANDIES,s,0.11036962353934891
WEST BURLINGTON,FLAVORED RUM,l,0.11036530007635398
SHELDON,TRIPLE SEC,m,0.11034482758620688
SIBLEY,WHISKEY LIQUEUR,m,0.11034265116050447
IOWA CITY,IMPORTED SCHNAPPS,s,0.1103102342595134
HARTLEY,IMPORTED CORDIALS & LIQUEUR,s,0.11028606209520891
SIOUX RAPIDS,TENNESSEE WHISKIES,l,0.1102218590158381
RIVERSIDE,STRAIGHT RYE WHISKIES,m,0.1102211831643416
BEVINGTON,AMERICAN BRANDIES,m,0.11018518518518516
