City,Category Name,Grade,Avg Growth Rate
SIOUX CENTER,FLAVORED RUM,high,0.42905102076030754
CENTERVILLE,SPICED RUM,high,0.429042016806723
GOWRIE,AMERICAN CORDIALS & LIQUEUR,low,0.4289549812724132
DYSART,WHITE RUM,low,0.42890730927842996
CLEAR LAKE,AGED DARK RUM,low,0.4288850321054332
BUFFALO,FLAVORED RUM,low,0.4288428828760975
BELLE PLAINE,IRISH WHISKIES,mid,0.42862588145607006
CHEROKEE,STRAIGHT BOURBON WHISKIES,mid,0.42857142857142855
SAINT ANSGAR,STRAIGHT BOURBON WHISKIES,mid,0.42857142857142855
GRAND JUNCTION,CREAM LIQUEURS,high,0.4285714285714284
MARQUETTE,MIXTO TEQUILA,low,0.42846885199381574
TIPTON,IMPORTED BRANDIES,low,0.42840406805682657
AMES,AMERICAN VODKAS,high,0.4283152442942912
IOWA FALLS,CANADIAN WHISKIES,high,0.42831271012150324
COLFAX,WHISKEY LIQUEUR,high,0.4282631671475082
HIAWATHA,IMPORTED VODKAS,high,0.4282623879448379
WASHINGTON,COCKTAILS/RTD,low,0.4282300526723688
COLUMBUS JUNCTION,AMERICAN DRY GINS,low,0.42791230159819077
NEVADA,IMPORTED CORDIALS & LIQUEUR,low,0.42788886645948315
MARION,SINGLE MALT SCOTCH,high,0.4278586552538093
POLK CITY,WHISKEY LIQUEUR,mid,0.4278036347517731
SANBORN,IRISH WHISKIES,low,0.42776685033945233
DAVENPORT,IOWA SPIRITS MANUFACTURERS,low,0.4276881695715134
SWISHER,SPICED RUM,high,0.4275711660314043
PARKERSBURG,IRISH WHISKIES,low,0.4275646534548991
SIOUX CENTER,AMERICAN FLAVORED VODKA,high,0.4273526444693006
DUNLAP,IMPORTED CORDIALS & LIQUEUR,low,0.42715435574522015
ALBION,CREAM LIQUEURS,low,0.42710622710622714
GLENWOOD,IMPORTED CORDIALS & LIQUEUR,high,0.4267764480294172
SIOUX RAPIDS,AMERICAN VODKAS,high,0.42640579223263825
ANKENY,TEMPORARY & SPECIALTY PACKAGES,low,0.42636807399501714
ESTHERVILLE,TENNESSEE WHISKIES,high,0.4261274761908529
JEWELL,STRAIGHT BOURBON WHISKIES,low,0.4260053364840301
NEOLA,IMPORTED VODKAS,high,0.4259259259259258
CEDAR FALLS,IOWA SPIRITS MANUFACTURERS,mid,0.4259116101619551
GRUNDY CENTER,IMPORTED CORDIALS & LIQUEUR,low,0.4258515270951311
VAN METER,SPICED RUM,low,0.4257824699680059
JOHNSTON,SINGLE BARREL BOURBON WHISKIES,low,0.42567734062007406
ROBINS,IMPORTED BRANDIES,low,0.4255861031154633
SLOAN,IMPORTED BRANDIES,low,0.4255729384962799
NEOLA,MIXTO TEQUILA,low,0.4254639172885278
IOWA CITY,MEZCAL,low,0.4254091152149327
SANBORN,CREAM LIQUEURS,high,0.4253944402704734
OSCEOLA,WHISKEY LIQUEUR,high,0.42535930764015983
SPIRIT LAKE,TEMPORARY & SPECIALTY PACKAGES,low,0.42535593361053375
FARLEY,IMPORTED VODKAS,low,0.42525018843782253
CEDAR FALLS,MIXTO TEQUILA,high,0.42507712983998047
FORT DODGE,TENNESSEE WHISKIES,mid,0.4250700280112046
ALTOONA,AMERICAN SLOE GINS,low,0.425
DENISON,STRAIGHT BOURBON WHISKIES,high,0.42481726222649296
BONDURANT,AMERICAN VODKAS,high,0.4247954986287654
SIGOURNEY,SPICED RUM,high,0.4247774906689634
SLOAN,AMERICAN CORDIALS & LIQUEUR,high,0.4246628489384083
EVANSDALE,FLAVORED RUM,low,0.4246371385621808
WEST POINT,COCKTAILS/RTD,low,0.4245838068558731
CLEAR LAKE,AMERICAN VODKAS,high,0.4243647379335959
LEON,100% AGAVE TEQUILA,low,0.42434508267362675
KALONA,COCKTAILS/RTD,low,0.4241447992520566
WEST BRANCH,CANADIAN WHISKIES,high,0.42406997417134223
DELHI,WHITE RUM,low,0.4239970962893033
SIOUX RAPIDS,IMPORTED CORDIALS & LIQUEUR,low,0.4239525089221787
CENTRAL CITY,COFFEE LIQUEURS,low,0.42391426546110184
LAKE CITY,IMPORTED DRY GINS,low,0.42388227259940586
LAMONI,SPICED RUM,high,0.4238647840088416
ELDORA,AMERICAN SCHNAPPS,high,0.42358333333333337
COUNCIL BLUFFS,IOWA SPIRITS MANUFACTURERS,low,0.42356474546060124
