City,Grade,Avg Growth Rate
LAKE PARK,high,38.29633333333334
LE CLAIRE,mid,25.023476526985476
LISBON,mid,19.236363636363635
VAN HORNE,high,16.735117023826252
ATKINS,mid,16.243360176247286
MANSON,mid,16.080808080808083
COLFAX,mid,15.030808080808082
INWOOD,mid,12.871381545155716
MEDIAPOLIS,mid,12.40796724470135
AKRON,high,11.198565026546717
LIVERMORE,high,9.135005442401313
BALDWIN,mid,8.683465194775314
RAYMOND,mid,8.017940690759648
HUDSON,mid,7.501089775989112
TRAER,mid,7.478519702366652
WILLIAMSBURG,mid,6.868116378757232
VINTON,mid,6.573038053454051
GLADBROOK,high,6.440158825763397
MELBOURNE,high,6.305243341467712
GUTTENBERG,mid,6.040190396069117
BUFFALO CENTER,mid,5.969197857722107
DOON,high,5.859928471353806
DUNLAP,mid,5.7454239709095845
CASCADE,mid,5.6291960629887905
COON RAPIDS,mid,5.567464520228765
BALDWIN,high,5.192961505411024
WALNUT,mid,5.190378576491294
AVOCA,mid,5.075537289151468
SAINT ANSGAR,mid,5.04146447966979
PARKERSBURG,high,4.941658286529144
MAXWELL,high,4.7890881038360105
STRAWBERRY POINT,high,4.782854375017419
CARTER LAKE,mid,4.724537583964444
GLENWOOD,mid,4.666012412020355
WESLEY,mid,4.461912285009436
WHITTEMORE,high,4.398750719886589
NEW HARTFORD,high,4.384333281272302
BELLE PLAINE,mid,4.107477121593669
ADEL,mid,4.105635274388635
NORWALK,mid,4.019805090525539
MT PLEASANT,mid,3.999455128205128
ROCK RAPIDS,mid,3.8738336265426576
ST ANSGAR,high,3.596747650711496
INDEPENDENCE,mid,3.5029327330017193
OELWEIN,mid,3.491962758311249
REINBECK,high,3.420376610377639
LENOX,mid,3.365464943980585
JEFFERSON,mid,3.3089476245570935
SIOUX CENTER,high,3.295591745345734
SERGEANT BLUFF,mid,3.200774624665694
ROLAND,mid,3.1707188160676534
HULL,low,3.1115993125923462
BEDFORD,high,3.0185010817560016
CRESTON,mid,3.013497182229307
HAMBURG,high,3.0026119560180304
NEW VIRGINIA,mid,3.0
HARTLEY,mid,2.9548275837007965
POCAHONTAS,mid,2.9176305264115356
EDDYVILLE,high,2.8949834034849684
POLK CITY,mid,2.8776508709135293
MAPLETON,mid,2.8705341077107858
RICEVILLE,high,2.803125493885698
SPRINGVILLE,high,2.758819763953966
EVANSDALE,mid,2.682361500961034
HUXLEY,mid,2.580851557974562
COLESBURG,low,2.5633435836527783
GARNER,mid,2.55347774334996
SAINT ANSGAR,high,2.5037130866481268
DAYTON,high,2.4773344847274164
HUBBARD,high,2.4455467138393523
ALBERT CITY,low,2.431399863709482
BONDURANT,mid,2.3759157396594603
SIGOURNEY,mid,2.3160617415820797
STANWOOD,high,2.2835273543140318
MARENGO,mid,2.2741921496760082
HAMPTON,mid,2.2531189517117127
LAURENS,mid,2.2171764705882353
MONONA,mid,2.2154732510288064
SOLON,mid,2.2033111642951835
BRITT,mid,2.1886451612903226
ELK RUN HEIGHTS,high,2.1395108124331723
MURRAY,low,2.118567014010046
ALLERTON,low,2.1017374545454546
WEST BEND,high,2.0807422240718583
DELMAR,high,2.0761133603369335
NORWAY,mid,2.0417768708569604
LE GRAND,mid,2.0323232323232325
ALBERT CITY,high,2.0308093163872143
DEWITT,mid,1.9647185298578693
TRIPOLI,high,1.9465238168131898
SAC CITY,mid,1.940185505420028
LOVILIA,high,1.9190911561590938
CAMANCHE,mid,1.9131996119928412
BAXTER,high,1.9083544765486558
AUDUBON,mid,1.9034147233427745
AUDUBON,high,1.9033924217934042
KALONA,high,1.8916741567539532
OTHO,high,1.8713333333333335
GLIDDEN,mid,1.8661246612466125
ORANGE CITY,mid,1.8559449348744599
MORNING SUN,low,1.8041603461843883
WEST BURLINGTON,mid,1.7876065452874847
NEVADA,mid,1.768539278676722
AURELIA,high,1.750787575938089
PACIFIC JUNCTION,mid,1.7486854929913112
CAMANCHE,high,1.7301587378915542
MARQUETTE,high,1.7198318297047692
ALDEN,high,1.690069624617692
CLARINDA,mid,1.6762776893978746
STANWOOD,low,1.6740962249837132
ALTON,high,1.6732540169111385
SIGOURNEY,high,1.6557962517328841
BUFFALO CENTER,high,1.6157927276197677
CORWITH,high,1.612951578449709
WELLMAN,mid,1.6066018341966242
FAIRBANK,high,1.6041557110755866
HIAWATHA,mid,1.5848459779126391
NEW SHARON,high,1.5835379117057078
GREENE,high,1.5498641364323378
WAPELLO,high,1.5459886973623354
VAN HORNE,mid,1.5348408208233024
FONTANELLE,low,1.5312640843307126
JEWELL,high,1.5240859839205878
ALBIA,high,1.5102223874165792
ROLAND,high,1.4967584494502117
WEST BEND,mid,1.4961703913545275
ROCK VALLEY,mid,1.4854982512614894
EARLY,high,1.462659813670329
ELKADER,mid,1.4616161616161616
CORYDON,mid,1.460839459186033
VILLISCA,low,1.4569986655746103
CONRAD,mid,1.4442105263157894
LAKE VIEW,mid,1.4435055792933698
FOREST CITY,mid,1.4374617230391535
NEW LONDON,high,1.4345634310685018
BROOKLYN,low,1.422107905569104
MALVERN,high,1.4194503544843189
BROOKLYN,high,1.4118181851165976
LAURENS,high,1.409337322119382
KINGSLEY,high,1.4063
HOLY CROSS,high,1.4055567682534353
MANLY,high,1.3798522713819403
VAN METER,high,1.3683535658646104
COLUMBUS JUNCTION,mid,1.3639415781757451
DAKOTA CITY,high,1.3624890182010674
MITCHELLVILLE,high,1.3470876830348566
BANCROFT,mid,1.3457436724612697
NORTH ENGLISH,mid,1.3373145107486455
EDDYVILLE,low,1.3316614855223687
MARENGO,high,1.3182919936912754
ELDRIDGE,mid,1.3132260696702356
HINTON,high,1.3046722941971363
SAGEVILLE,low,1.297415166364325
WINFIELD,high,1.2812025064477908
WINTERSET,mid,1.2758903708749227
PEOSTA,mid,1.2743192828618661
SEYMOUR,high,1.2699489331279723
LARCHWOOD,mid,1.2533696450096559
GRUNDY CENTER,mid,1.2493412977336844
CLERMONT,high,1.2482176543190533
DELHI,high,1.2481088355314225
DECORAH,high,1.2457729866760103
LAMONI,mid,1.2437863736704795
GRAND MOUNDS,mid,1.2433604536126852
ANITA,high,1.2423608446819974
BRITT,high,1.2364319973387794
GRIMES,mid,1.231782949866571
DYERSVILLE,mid,1.2258542466763391
MARTELLE,mid,1.2056714647689901
NASHUA,high,1.180814137386773
WEST UNION,mid,1.1740559899117275
GOWRIE,high,1.172814890396775
MANNING,mid,1.1675692359493814
KALONA,mid,1.1569043772240206
DALLAS CENTER,high,1.156671111564399
MOUNT AYR,high,1.1499795852067192
ARNOLDS PARK,mid,1.1499570915131703
MONONA,high,1.1382282291357564
AMANA,high,1.1309615565195292
DECORAH,mid,1.1255178782314332
LAKE MILLS,mid,1.1075779602031603
COGGON,high,1.104450224960162
STUART,mid,1.102340996019086
SULLY,high,1.100744978806
ROCKWELL CITY,high,1.1005474320748703
WEST BEND,low,1.0992051417884554
