index,Store Number,Recency,Frequency,Monetary,r_seg,f_seg,m_seg,RFMScore,prediction
0,5645,6,2788,204380.28,3,1,1,311,0
1,4937,3,284,38821.16,1,3,3,133,0
2,6194,4,1110,175641.41,2,2,1,221,0
3,3959,0,649,40119.05,1,2,3,123,0
4,5925,10,379,34980.96,3,3,3,333,0
5,4821,12,387,48908.65,4,3,3,433,0
6,6240,0,490,36493.87,1,3,3,133,0
7,4838,10,430,52615.37,3,3,3,333,0
8,5149,3,1496,214493.72,1,1,1,111,0
9,3650,0,2035,282222.19,1,1,1,111,0
10,6248,5,1204,80239.03,2,2,2,222,0
11,5613,6,204,22923.38,3,4,4,344,0
12,4975,27,226,45741.9,4,4,3,443,0
13,3826,209,71,13956.78,4,4,4,444,1
14,2700,5,919,165324.56,2,2,1,221,0
15,3949,5,774,148649.79,2,2,2,222,0
16,5044,10,416,67054.34,3,3,2,332,0
17,5757,10,266,27115.44,3,3,4,334,0
18,5316,5,1246,40314.34,2,1,3,213,0
19,5913,4,262,39146.42,2,4,3,243,0
20,2696,10,415,51296.99,3,3,3,333,0
21,5181,6,480,47937.57,3,3,3,333,0
22,6081,14,738,34061.0,4,2,3,423,0
23,6143,5,2579,346913.41,2,1,1,211,0
24,4988,4,7769,1301546.92,2,1,1,211,3
25,6252,3,1412,226758.44,1,1,1,111,0
26,4249,3,559,72191.32,1,3,2,132,0
27,2550,6,1354,207233.18,3,1,1,311,0
28,4665,5,1311,104547.27,2,1,2,212,0
29,5057,4,1241,74706.84,2,1,2,212,0
30,5082,3,453,52127.24,1,3,3,133,0
31,6106,10,49,5525.7,3,4,4,344,0
32,5297,10,216,34696.18,3,4,3,343,0
33,4236,5,771,133892.43,2,2,2,222,0
34,5408,13,184,28085.44,4,4,4,444,0
35,5234,14,277,40762.44,4,3,3,433,0
36,3652,20,96,16043.2,4,4,4,444,0
37,6033,13,174,26585.59,4,4,4,444,0
38,3993,6,2663,359027.15,3,1,1,311,0
39,5450,17,487,32846.54,4,3,3,433,0
40,5052,3,653,65320.58,1,2,2,122,0
41,4594,0,1369,40626.13,1,1,3,113,0
42,4464,3,920,99969.21,1,2,2,122,0
43,5986,40,207,21338.62,4,4,4,444,0
44,6217,6,1298,92343.11,3,1,2,312,0
45,4569,0,688,70127.66,1,2,2,122,0
46,4818,3,784,82224.31,1,2,2,122,0
47,2644,3,4778,1214260.56,1,1,1,111,3
48,5434,3,1872,117541.88,1,1,2,112,0
49,5291,115,305,43705.6,4,3,3,433,2
50,4782,3,148,25432.36,1,4,4,144,0
51,4417,10,498,38564.32,3,3,3,333,0
