Store Number,Recency,Frequency,Monetary,r_seg,f_seg,m_seg,RFMScore,prediction,Store,Report Date,Name,Store Status,Address,State,Zip Code,longitude,latitude,City
5645,6,2788,204380.28,3,1,1,311,0,5645,2022-11-01,PHILLIPS 66 / GRINNELL,A,1031 WEST ST,IA,50112,-92.727379,41.745903,GRINNELL
4937,3,284,38821.16,1,3,3,133,0,4937,2022-11-01,ROCSTOP,A,1310 W SHERIDAN AVE,IA,51601,-95.38464,40.765869,SHENANDOAH
6194,4,1110,175641.41,2,2,1,221,0,6194,2022-11-01,HY-VEE DOLLAR FRESH / NEVADA,A,1622 FAWCETT PARKWAY,IA,50201,-93.437898,42.012648,NEVADA
3959,0,649,40119.05,1,2,3,123,0,3959,2022-11-01,HARTIG DRUG COMPANY #8/UNIVERSITY,A,1600 UNIVERSITY AVE,IA,52001,-90.688027,42.498279,DUBUQUE
5925,10,379,34980.96,3,3,3,333,0,5925,2022-11-01,FREDRICKSBURG FOOD CENTER,A,100 W MAIN ST,IA,50630,-92.199473,42.965098,FREDERICKSBURG
4821,12,387,48908.65,4,3,3,433,0,4821,2022-11-01,CASEY'S GENERAL STORE #3215 / OSKALOOSA,A,901 S MARKET ST,IA,52577,-92.645075,41.287632,OSKALOOSA
6240,0,490,36493.87,1,3,3,133,0,6240,2022-11-01,RACEWAY 80 / NEWTON,A,4300 SOUTH 22ND AVENUE EAST,IA,50208,-93.000617,41.679627,NEWTON
4838,10,430,52615.37,3,3,3,333,0,4838,2022-11-01,CASEY'S GENERAL STORE #2448 / OGDEN,A,"102, W VETERANS DR",IA,50212,-94.028392,42.03201,OGDEN
5149,3,1496,214493.72,1,1,1,111,0,5149,2022-11-01,B S MINI MART INC,A,"1900, SUMMER ST",IA,52601,-91.116076,40.789013,BURLINGTON
3650,0,2035,282222.19,1,1,1,111,0,3650,2022-11-01,"SPIRITS, STOGIES AND STUFF",A,118 SOUTH MAIN ST.,IA,51025,-95.544794,42.488703,HOLSTEIN
6248,5,1204,80239.03,2,2,2,222,0,6248,2022-11-01,QUICK STOP / CEDAR RAPIDS,A,380 BLAIRS FERRY ROAD NORTHEAST,IA,52402,-91.638037,42.03474,CEDAR RAPIDS
5613,6,204,22923.38,3,4,4,344,0,5613,2022-11-01,CASEY'S GENERAL STORE #2624 / MANCHESTER,A,1413 N FRANKLIN ST,IA,52057,-91.45793,42.502602,MANCHESTER
4975,27,226,45741.9,4,4,3,443,0,4975,2022-11-01,WALGREENS #15647 / SIOUX CITY,A,1900 HAMILTON BLVD,IA,51104,-96.416702,42.511222,SIOUX CITY
3826,209,71,13956.78,4,4,4,444,1,3826,2022-11-01,LAKESIDE HOTEL & CASINO,A,777 CASINO DR,IA,50213,-93.797569,41.040076,OSCEOLA
2700,5,919,165324.56,2,2,1,221,0,2700,2022-11-01,HY-VEE DOLLAR FRESH - EMMETSBURG,A,3402 MAIN STREET,IA,50536,-94.693413,43.111917,EMMETSBURG
