_c0,Store Number,Recency,Frequency,Monetary,r_seg,f_seg,m_seg,RFMScore,prediction,Store,Report Date,Name,Store Status,Address,State,Zip Code,latitude,longitude,City
0,5645,6,2788,204380.28,3,1,1,311,1,5645,2022-11-01,PHILLIPS 66 / GRINNELL,A,1031 WEST ST,IA,50112,41.745903,-92.727379,GRINNELL
1,4937,3,284,38821.16,1,3,3,133,1,4937,2022-11-01,ROCSTOP,A,1310 W SHERIDAN AVE,IA,51601,40.765869,-95.38464,SHENANDOAH
2,6194,4,1110,175641.41,2,2,1,221,1,6194,2022-11-01,HY-VEE DOLLAR FRESH / NEVADA,A,1622 FAWCETT PARKWAY,IA,50201,42.012648,-93.437898,NEVADA
3,3959,0,649,40119.05,1,2,3,123,1,3959,2022-11-01,HARTIG DRUG COMPANY #8/UNIVERSITY,A,1600 UNIVERSITY AVE,IA,52001,42.498279,-90.688027,DUBUQUE
4,5925,10,379,34980.96,3,3,3,333,1,5925,2022-11-01,FREDRICKSBURG FOOD CENTER,A,100 W MAIN ST,IA,50630,42.965098,-92.199473,FREDERICKSBURG
5,4821,12,387,48908.65,4,3,3,433,1,4821,2022-11-01,CASEY'S GENERAL STORE #3215 / OSKALOOSA,A,901 S MARKET ST,IA,52577,41.287632,-92.645075,OSKALOOSA
6,6240,0,490,36493.87,1,3,3,133,1,6240,2022-11-01,RACEWAY 80 / NEWTON,A,4300 SOUTH 22ND AVENUE EAST,IA,50208,41.679627,-93.000617,NEWTON
7,4838,10,430,52615.37,3,3,3,333,1,4838,2022-11-01,CASEY'S GENERAL STORE #2448 / OGDEN,A,"102, W VETERANS DR",IA,50212,42.03201,-94.028392,OGDEN
8,5149,3,1496,214493.72,1,1,1,111,1,5149,2022-11-01,B S MINI MART INC,A,"1900, SUMMER ST",IA,52601,40.789013,-91.116076,BURLINGTON
9,3650,0,2035,282222.19,1,1,1,111,1,3650,2022-11-01,"SPIRITS, STOGIES AND STUFF",A,118 SOUTH MAIN ST.,IA,51025,42.488703,-95.544794,HOLSTEIN
10,6248,5,1204,80239.03,2,2,2,222,1,6248,2022-11-01,QUICK STOP / CEDAR RAPIDS,A,380 BLAIRS FERRY ROAD NORTHEAST,IA,52402,42.03474,-91.638037,CEDAR RAPIDS
11,5613,6,204,22923.38,3,4,4,344,1,5613,2022-11-01,CASEY'S GENERAL STORE #2624 / MANCHESTER,A,1413 N FRANKLIN ST,IA,52057,42.502602,-91.45793,MANCHESTER
