feature(s),variance,mean,max,min
City,0.116096619,0.229600815,3.263513345,-0.463150337
Category Name,0.059859061,0.199854723,0.977332589,-0.019747179
Bottle Size,0.005368827,0.128391272,0.191684555,0.048120592
Grade,0.028781517,0.275251751,0.430416868,0.094110722
City + Category Name,9.208827263,0.716679094,149.5111096,-0.99104813
City + Bottle Size,7.588875233,0.444332141,72.23475007,-0.791370011
City + Grade,4.457113861,0.814925826,38.29633333,-0.905714286
Category Name + Bottle Size,3.279167973,0.501899098,12.83851187,-0.444259988
Category Name + Grade,7.234411413,0.866192203,23.75,-0.555555556
Bottle Size + Grade,0.777783772,0.59780079,2.906455722,0.048030901
City + Category Name + Bottle Size,16.62049203,0.847842351,407.1608209,-0.991906534
City + Category Name + Grade,181.4700799,1.087632432,1952.045045,-0.99104813
City + Bottle Size + Grade,31.52360554,1.143663541,146.1435797,-0.96763754
Category Name + Bottle Size + Grade,5.406303159,0.787680125,23.75,-0.663624464
