Category Name,Avg Growth Rate
NEUTRAL GRAIN SPIRITS FLAVORED,0.9773325890610955
AMERICAN DISTILLED SPIRIT SPECIALTY,0.9454116704413509
BOTTLED IN BOND BOURBON,0.7820746027241734
TEMPORARY & SPECIALTY PACKAGES,0.6242363275165564
MEZCAL,0.5885408467835939
IOWA SPIRITS MANUFACTURERS,0.5717116642597347
CORN WHISKIES,0.40814630531264723
FLAVORED GIN,0.38921880166540906
SINGLE BARREL BOURBON WHISKIES,0.33952766394501044
100% AGAVE TEQUILA,0.2993746260713795
AGED DARK RUM,0.2643993114784368
COCKTAILS/RTD,0.23586983438078313
STRAIGHT BOURBON WHISKIES,0.20543265152769005
IMPORTED DISTILLED SPIRIT SPECIALTY,0.2015769557612539
AMERICAN CORDIALS & LIQUEUR,0.1979583986116569
IMPORTED BRANDIES,0.19387937942338163
STRAIGHT RYE WHISKIES,0.17967499099083148
IMPORTED CORDIALS & LIQUEUR,0.14086783222071728
WHISKEY LIQUEUR,0.13222264160115338
IMPORTED CORDIALS & LIQUEURS,0.13001759472599542
BLENDED WHISKIES,0.12660494849553608
FLAVORED RUM,0.11870480296842918
IMPORTED SCHNAPPS,0.10150880361772113
CREAM LIQUEURS,0.09670557807858383
MIXTO TEQUILA,0.0842076814544403
SINGLE MALT SCOTCH,0.0841293281041749
IMPORTED DRY GINS,0.08074591667097324
IRISH WHISKIES,0.07993032690422082
AMERICAN SCHNAPPS,0.07910716146118352
AMERICAN FLAVORED VODKA,0.0748305122654917
AMERICAN VODKAS,0.06389039451520133
AMERICAN SLOE GINS,0.05825364543621674
TENNESSEE WHISKIES,0.05668743827939237
COFFEE LIQUEURS,0.05648861802415611
CANADIAN WHISKIES,0.046839486027906774
TRIPLE SEC,0.04659494424104205
AMERICAN DRY GINS,0.040890278574611146
SCOTCH WHISKIES,0.035605835754198685
AMERICAN BRANDIES,0.0293030092005102
WHITE RUM,0.022130714346499814
SPICED RUM,0.02133469273788512
SPECIAL ORDER ITEMS,0.013813491125060787
GOLD RUM,0.012991276336884933
NEUTRAL GRAIN SPIRITS,-0.008922775643765415
IMPORTED VODKAS,-0.016786357448527158
IMPORTED FLAVORED VODKA,-0.019747178894592144
