City,Bottle Size,Avg Growth Rate
BLOOMFIELD,s,72.23475006702846
PLEASANT VALLEY,s,49.24178840353926
SAGEVILLE,l,41.78569050413309
HULL,s,13.58005432020776
DOON,s,8.640100911342687
LAMONT,l,5.849727805876506
FONTANELLE,l,5.4345159537303
MURRAY,l,5.104606858330447
ALBERT CITY,s,4.074096165246233
COLESBURG,m,4.024670411186922
VAN HORNE,s,3.9175101442500986
HUBBARD,s,3.5762240652585526
HULL,l,3.5263774328114352
GRAETTINGER,s,3.2169077792617355
ESSEX,l,3.107917692113517
ALBERT CITY,l,2.781556786181707
COLESBURG,s,2.606339261654541
WYOMING,l,2.522365086654082
HULL,m,2.402833017917955
BALDWIN,s,2.2784447508797117
MORNING SUN,l,2.2035936734163317
STANWOOD,s,2.2002235060851567
WEST BEND,l,2.1970589727896623
COLESBURG,l,2.1843002489446905
ALBERT CITY,m,2.1327948171953004
VILLISCA,l,2.104827361514294
WHITTEMORE,s,1.9737075266911794
HINTON,m,1.9456002611001801
MORNING SUN,m,1.8848396763839632
DONNELLSON,l,1.8571401262256193
BROOKLYN,l,1.8295597910277905
EDDYVILLE,l,1.8221570597427599
MURRAY,m,1.7033377565780827
PLEASANT VALLEY,l,1.6770591917531192
DANVILLE,l,1.6180170450540154
STANWOOD,l,1.5791438980134147
HUBBARD,m,1.5783075610157216
STANWOOD,m,1.5680759427220685
POMEROY,l,1.542240144485271
EDDYVILLE,m,1.4465512897633501
REINBECK,s,1.4377768421661006
NEW HARTFORD,s,1.4359800112228227
MAYNARD,l,1.408170683069172
GLADBROOK,s,1.4058859044175036
ALTON,l,1.3993490837781872
BROOKLYN,m,1.3982390653527583
SIOUX CENTER,s,1.386776423818499
LE CLAIRE,m,1.3526204244604942
MURRAY,s,1.3465026535020785
MT PLEASANT,s,1.3108077110732925
BAXTER,s,1.3027977301670273
EDDYVILLE,s,1.294756327615196
BALDWIN,m,1.2904266450390294
ALLERTON,m,1.2746251536720885
FONTANELLE,m,1.270293746835694
KALONA,s,1.262861029529286
WILLIAMSBURG,l,1.2296788024564522
FONDA,s,1.211412145826375
WOODBINE,s,1.2047837114182158
LAKE VIEW,l,1.1863837478676151
VILLISCA,s,1.1789167248116657
NEW HARTFORD,l,1.1779107394554116
GUTTENBERG,s,1.1554578194595788
TIFFIN,l,1.1293443753331707
COGGON,l,1.1148354872507837
MELBOURNE,m,1.1090231479241106
ALTON,s,1.1034733306947901
HINTON,s,1.0946013939240617
NICHOLS,l,1.0768445843346797
VILLISCA,m,1.0710406295878543
FAIRBANK,s,1.066224595443068
HILLS,l,0.9961388350486194
ROLAND,l,0.9952782263004801
LE GRAND,s,0.9893326254042529
DYSART,s,0.9890734553936401
CENTER POINT,s,0.9874228032503524
MARTELLE,s,0.9680336341211307
BLAIRSTOWN,s,0.9493939379621813
STRATFORD,s,0.9472655955229751
DEWITT,m,0.940949921357872
ELK RUN HEIGHTS,s,0.9327277299610696
WEST BEND,s,0.892010446874759
LE CLAIRE,s,0.8899249595923409
PLEASANTVILLE,m,0.88742475381075
CLARENCE,l,0.8870231573986405
LE CLAIRE,l,0.8753873855708134
DEWITT,l,0.859207283813014
RICEVILLE,s,0.8478688671437884
NEW LONDON,s,0.8425787874051963
SWEA CITY,s,0.8389285543253293
MORNING SUN,s,0.8372254799613081
ESSEX,m,0.8284757537706001
COGGON,s,0.813692900229112
GLADBROOK,m,0.8109469340370938
ELDON,l,0.799947899638102
CORWITH,s,0.7985259670649404
DELMAR,s,0.7985224331032592
SULLY,s,0.7888300314189359
LONE TREE,l,0.7861499153030738
RUTHVEN,l,0.7642845816845929
CLERMONT,s,0.7615569458704273
DAKOTA CITY,s,0.7613273145269889
ESSEX,s,0.7549838881059132
LONE TREE,s,0.7496877518370869
WALKER,s,0.7454099923868055
ST ANSGAR,s,0.7438803971374193
KALONA,l,0.742520367142297
BROOKLYN,s,0.722763273092318
OSSIAN,l,0.7205850171420236
ELK RUN HEIGHTS,l,0.7187920368962376
WAPELLO,m,0.7172130652118957
BUFFALO CENTER,s,0.7163668435003278
EVANSDALE,s,0.7154123718880703
TRURO,m,0.7071905544642471
FONTANELLE,s,0.7043352988474941
WAPELLO,s,0.7020491565565021
WAPELLO,l,0.6958594358461486
LOHRVILLE,s,0.6907872879733633
WASHBURN,l,0.6907281003222937
WEST BEND,m,0.6824674528597604
CORWITH,l,0.6820140288031448
MOUNT VERNON,s,0.6818088619764793
CORRECTIONVILLE,m,0.6803066505603955
GRAND MOUNDS,m,0.6802745863063349
DALLAS CENTER,s,0.6776636206433423
LE GRAND,m,0.6775199044279953
RUDD,m,0.6746849508319388
ROLAND,s,0.6719762787293714
FORT MADISON,s,0.6694019023591902
FREDERICKSBURG,s,0.6674292292334058
MADRID,s,0.6648099959074749
OGDEN,m,0.6611221140935587
BALDWIN,l,0.6575950832366747
MAXWELL,s,0.6573686338932948
MOUNT AYR,s,0.6564542146592661
MANNING,s,0.6536233441618453
NASHUA,s,0.6509796771133997
JESUP,s,0.642679007404007
EARLY,s,0.6374087014318927
CONRAD,m,0.6350779415349519
ACKLEY,s,0.6349967194767915
WILLIAMSBURG,m,0.6300493674072206
JESUP,l,0.6290558724776423
GRISWOLD,l,0.6266094263397259
SIGOURNEY,s,0.6258300536462477
WHAT CHEER,l,0.6249785695618572
CORWITH,m,0.6231188286586402
WHAT CHEER,m,0.621560062870907
SAGEVILLE,s,0.6212973649593019
MERRILL,s,0.6210994153141485
AKRON,s,0.6174730439398098
MELBOURNE,s,0.6148443538414355
DENVER,s,0.614171257923367
GOLDFIELD,s,0.6127103716115243
LAURENS,s,0.6123036988300565
LE GRAND,l,0.6107834773992691
AVOCA,s,0.6041594028266312
OGDEN,l,0.6014611361528824
LONE TREE,m,0.5961818043814787
KALONA,m,0.5947432087910682
MANCHESTER,s,0.5936340006040058
ALDEN,s,0.5933847856771505
GRAND MOUNDS,s,0.5908659389557308
ZWINGLE,s,0.5907307689489604
VAN HORNE,m,0.590648609136622
WYOMING,s,0.589114913107908
PALO,l,0.5878326291204309
STRAWBERRY POINT,s,0.5868071461793
NEW HARTFORD,m,0.5849003982478478
LAKE VIEW,s,0.5816074444427276
OGDEN,s,0.5729356809487759
MIDDLETOWN,l,0.5714055265195818
DEXTER,s,0.5680544928143344
TAMA,s,0.5668285233909255
PERRY,s,0.5662445482473866
POMEROY,m,0.563739503115616
NEW LONDON,m,0.5627180728909781
MANLY,s,0.5604275817453112
ARMSTRONG,s,0.5567825413594223
ALTON,m,0.5567515828203676
DAYTON,s,0.5536741856104863
HAMPTON,s,0.5524439087730452
ADAIR,l,0.5444235998698729
FARMINGTON,s,0.5439286074670119
CORRECTIONVILLE,s,0.5426134817729215
RICEVILLE,l,0.5407281965869583
HUDSON,l,0.5389386629371814
SAINT ANSGAR,l,0.5378580671942554
MONROE,s,0.5373982743984884
MERRILL,m,0.5368009026961343
MAYNARD,m,0.5339211875471666
AMANA,s,0.5321780185877247
BUFFALO CENTER,m,0.5313156947195733
TRURO,l,0.5293329666896951
JESUP,m,0.5284394867663792
KINGSLEY,s,0.5282906289615693
DALLAS CENTER,m,0.5276492400040157
NICHOLS,s,0.5250655771456731
HARPERS FERRY,s,0.5244440508279394
MAYNARD,s,0.5216949636407481
ELMA,m,0.5179218510094801
CLARKSVILLE,s,0.5176797007370448
AFTON,s,0.5141875697502262
PLEASANT VALLEY,m,0.5110701379582693
NASHUA,m,0.5107430462249467
VINTON,s,0.5103970267932425
SHUEYVILLE,m,0.5080613432626845
HINTON,l,0.5072712617731693
LAKE CITY,s,0.5051999318016184
BEDFORD,s,0.5032186232140693
NEW HAMPTON,s,0.5022538676985259
POMEROY,s,0.5009792522420351
SPRINGVILLE,s,0.5006947260223896
HUXLEY,s,0.4985618818547741
MONONA,s,0.49778018020049936
ALTA,s,0.49059248699334845
COGGON,m,0.4904483278072142
GRANGER,s,0.48961764079188935
LAKE PARK,s,0.4895468229059073
DONNELLSON,m,0.4889717050054536
MAXWELL,m,0.4888323576818299
ELDON,s,0.4877980468901739
DELHI,s,0.4842612529778687
MARQUETTE,m,0.48366659046437843
PRAIRIE CITY,s,0.48134168238206754
GUTTENBERG,m,0.4808646360816305
DELHI,l,0.4802641661625327
TABOR,s,0.47967063100338225
NICHOLS,m,0.4760864019654081
NASHUA,l,0.4750902558496694
GILBERTVILLE,s,0.4732136125875947
BRITT,s,0.4731180975106402
OSCEOLA,s,0.4723932572751177
WOODWARD,s,0.4681735797779846
BUFFALO,s,0.46757026895777054
SHEFFIELD,s,0.46579293923864656
WHAT CHEER,s,0.46136526327771465
CONRAD,s,0.4611019923905762
MARENGO,s,0.46062108010973923
GARNER,m,0.45945090833735125
LATIMER,m,0.45631051724552907
CUMMING,s,0.45393844999438615
HILLS,s,0.4526823719196715
MELCHER-DALLAS,m,0.4519055642088863
HARPERS FERRY,l,0.45059032054682696
RICEVILLE,m,0.4495591230691707
WEST BRANCH,s,0.4477854652000255
WEST UNION,s,0.44715352777352596
MARCUS,m,0.44439648681861216
FLOYD,m,0.44429358198517244
RED OAK,s,0.44241533821643797
TIFFIN,m,0.4422740202944005
GEORGE,m,0.4421490705760438
CLARENCE,m,0.44125526142669963
WALL LAKE,s,0.4409557930630262
LIME SPRINGS,l,0.44071155531109824
GRAETTINGER,m,0.4375852486063348
ROLAND,m,0.437333037990344
POLK CITY,s,0.4352726469601182
MARCUS,s,0.4338061522959099
HUDSON,m,0.43377456189815256
LIVERMORE,l,0.4337172396493505
NEW LONDON,l,0.43183235621392635
RAYMOND,s,0.4303834599647045
DECORAH,s,0.4296626301521245
VAN METER,s,0.42930215871677957
DONNELLSON,s,0.4286545464573075
FOREST CITY,m,0.4278276323176507
HARPERS FERRY,m,0.4263310441745965
