City,Category Name,Avg Growth Rate
ADEL,SINGLE BARREL BOURBON WHISKIES,149.51110961137584
OSCEOLA,AMERICAN DISTILLED SPIRIT SPECIALTY,125.36000000000001
PRINCETON,TEMPORARY & SPECIALTY PACKAGES,89.98
GRAND MOUNDS,100% AGAVE TEQUILA,89.76268827946463
DELMAR,TEMPORARY & SPECIALTY PACKAGES,73.01380636117308
BELLE PLAINE,IOWA SPIRITS MANUFACTURERS,69.55915647563647
PAULLINA,IMPORTED FLAVORED VODKA,62.89726484322882
MONTROSE,IOWA SPIRITS MANUFACTURERS,57.45766582414216
VICTOR,IMPORTED DRY GINS,55.29472407519709
LE CLAIRE,SINGLE BARREL BOURBON WHISKIES,53.38820555256543
MEDIAPOLIS,SCOTCH WHISKIES,46.24640185870785
GUTTENBERG,IMPORTED BRANDIES,44.9687512502114
CORWITH,IMPORTED FLAVORED VODKA,44.8336
PAULLINA,NEUTRAL GRAIN SPIRITS FLAVORED,41.17364813404417
DECORAH,BOTTLED IN BOND BOURBON,40.57304114188471
ALLERTON,TENNESSEE WHISKIES,37.8338517644535
DANVILLE,IMPORTED VODKAS,35.32524964336662
RAYMOND,COCKTAILS/RTD,34.5540724601673
TRURO,TEMPORARY & SPECIALTY PACKAGES,33.21458333333334
SHELDON,AMERICAN DISTILLED SPIRIT SPECIALTY,30.984583333333337
STUART,BOTTLED IN BOND BOURBON,30.835106382978726
WEST BEND,IOWA SPIRITS MANUFACTURERS,30.786312614899284
AFTON,STRAIGHT BOURBON WHISKIES,27.952380952380953
MANCHESTER,NEUTRAL GRAIN SPIRITS FLAVORED,27.442801719806443
SIOUX CENTER,BOTTLED IN BOND BOURBON,27.440454545454546
RUNNELLS,FLAVORED RUM,26.96656753736291
DALLAS CENTER,TEMPORARY & SPECIALTY PACKAGES,26.478010847546237
FORT MADISON,AMERICAN DISTILLED SPIRIT SPECIALTY,26.11371428571429
BUFFALO,TEMPORARY & SPECIALTY PACKAGES,24.191922455573504
CRESCO,NEUTRAL GRAIN SPIRITS FLAVORED,24.005605470589682
OSSIAN,AMERICAN CORDIALS & LIQUEUR,24.00413223140496
GRISWOLD,AMERICAN BRANDIES,23.822825430665514
SULLY,TEMPORARY & SPECIALTY PACKAGES,23.558562197092083
ELY,COFFEE LIQUEURS,23.166666666666664
PAULLINA,SCOTCH WHISKIES,23.06030904192366
NEVADA,SINGLE BARREL BOURBON WHISKIES,22.002
SIGOURNEY,SINGLE BARREL BOURBON WHISKIES,21.667777777777776
LE GRAND,TEMPORARY & SPECIALTY PACKAGES,21.23693783292315
PLEASANTVILLE,AMERICAN FLAVORED VODKA,20.576997398736534
KALONA,STRAIGHT RYE WHISKIES,19.370812604650112
ALLERTON,WHISKEY LIQUEUR,19.0
RED OAK,AMERICAN DISTILLED SPIRIT SPECIALTY,18.362083333333334
HUDSON,SINGLE BARREL BOURBON WHISKIES,18.30869301994302
WALKER,TEMPORARY & SPECIALTY PACKAGES,17.68632202477114
GLIDDEN,IMPORTED DRY GINS,17.37273593898951
CLARKSVILLE,IOWA SPIRITS MANUFACTURERS,16.98172071340905
CORWITH,NEUTRAL GRAIN SPIRITS FLAVORED,16.82
WASHINGTON,CORN WHISKIES,16.502055577707345
MELBOURNE,SINGLE MALT SCOTCH,16.348952380952383
NEW SHARON,SCOTCH WHISKIES,16.183456790123454
ALGONA,MEZCAL,15.563599798893916
WILLIAMSBURG,TEMPORARY & SPECIALTY PACKAGES,15.45495285721604
ARMSTRONG,AMERICAN CORDIALS & LIQUEUR,15.382677590122464
ALLERTON,SINGLE BARREL BOURBON WHISKIES,15.0456021378696
GLIDDEN,IMPORTED CORDIALS & LIQUEURS,14.999999999999998
WEBSTER CITY,IMPORTED DISTILLED SPIRIT SPECIALTY,14.993620414673048
SHEFFIELD,AMERICAN CORDIALS & LIQUEUR,14.791999999999998
HAMBURG,AMERICAN SCHNAPPS,14.78562910172336
WEST UNION,IOWA SPIRITS MANUFACTURERS,14.682658727958568
CHARLES CITY,BOTTLED IN BOND BOURBON,14.652747252747252
DENISON,FLAVORED GIN,14.59046315309149
WAPELLO,STRAIGHT RYE WHISKIES,14.476858013630356
WHITTEMORE,TEMPORARY & SPECIALTY PACKAGES,14.361600000000001
SANBORN,100% AGAVE TEQUILA,13.999102584867998
HAMBURG,IRISH WHISKIES,13.993939393939394
WINTERSET,AMERICAN DISTILLED SPIRIT SPECIALTY,13.90583333333333
BUFFALO,AMERICAN DRY GINS,13.834343434343435
BUFFALO CENTER,SINGLE BARREL BOURBON WHISKIES,13.804758728040916
WILLIAMSBURG,IOWA SPIRITS MANUFACTURERS,13.22893724192619
GLIDDEN,COFFEE LIQUEURS,13.145692192452515
LE CLAIRE,STRAIGHT RYE WHISKIES,13.049309836406467
DONNELLSON,BLENDED WHISKIES,12.942198245486136
BAXTER,SINGLE MALT SCOTCH,12.864822937769864
ST ANSGAR,NEUTRAL GRAIN SPIRITS FLAVORED,12.863999999999999
MORNING SUN,TEMPORARY & SPECIALTY PACKAGES,12.713177447552447
DEWITT,SPECIAL ORDER ITEMS,12.623595479466987
GRIMES,FLAVORED GIN,12.60293109243764
INDIANOLA,AMERICAN DISTILLED SPIRIT SPECIALTY,12.568008342040573
GRISWOLD,FLAVORED RUM,12.558623802261904
WOODWARD,AMERICAN CORDIALS & LIQUEUR,12.428571428571429
BALDWIN,IMPORTED BRANDIES,12.42749752152451
LAKE VIEW,AMERICAN DISTILLED SPIRIT SPECIALTY,12.375644169140104
NORTH LIBERTY,IMPORTED DISTILLED SPIRIT SPECIALTY,12.335889680037383
SAGEVILLE,NEUTRAL GRAIN SPIRITS FLAVORED,11.996771842132667
FREMONT,IMPORTED BRANDIES,11.97440742567674
LE CLAIRE,SINGLE MALT SCOTCH,11.94066349221555
